"","X.1","X","treat.f","In_group","high_followers","anonymity","log.followers","racism.scores.post.1wk","racism.scores.pre.2mon","racism.scores.post.2mon","racism.scores.post.1mon","racism.scores.post.2wk"
"1",1,1,4,0,1,1,4.09434472888875,1.42857142857143,0,0.225806451612903,0.451612903225806,1
"2",2,2,4,0,1,2,7.00760062300163,0.142857142857143,0.0483870967741935,0.17741935483871,0.193548387096774,0.0714285714285714
"3",3,3,4,0,1,2,6.94889723191024,0,0.0161290322580645,0,0,0
"4",4,4,2,0,0,2,8.27078101572153,0.142857142857143,0.032258064516129,0.225806451612903,0.129032258064516,0.142857142857143
"5",5,5,2,0,0,1,5.4116460964979,0.571428571428571,0.0161290322580645,0.0645161290322581,0.129032258064516,0.285714285714286
"6",6,6,3,1,1,2,3.04452291391379,3.28571428571429,0.193548387096774,0.758064516129032,1.51612903225806,1.64285714285714
"7",7,7,3,1,1,2,6.15909540963358,0,0.0161290322580645,0,0,0
"8",8,8,3,1,1,2,7.34665516962399,0,0.0161290322580645,0,0,0
"9",9,9,1,1,0,2,6.08677474963958,0,0.0161290322580645,0,0,0
"10",10,10,1,1,0,2,5.2729996098458,0,0.032258064516129,0.0161290322580645,0.032258064516129,0.0714285714285714
"11",11,11,1,1,0,2,3.25809692263679,2.57142857142857,0.209677419354839,1.46774193548387,0.967741935483871,1.28571428571429
"12",12,12,4,0,1,2,6.4377516657364,0,0.0161290322580645,0,0,0
"13",13,13,4,0,1,1,7.52833177208359,0,0.338709677419355,0,0,0
"14",14,14,4,0,1,2,6.21860013961205,1.14285714285714,0.241935483870968,0.145161290322581,0.290322580645161,0.571428571428571
"15",15,15,2,0,0,1,4.41884072827852,0.285714285714286,0.0161290322580645,0.209677419354839,0.161290322580645,0.142857142857143
"16",16,16,2,0,0,1,5.89440286181306,0.428571428571429,0.0161290322580645,0.258064516129032,0.451612903225806,0.5
"17",17,17,2,0,0,2,6.13556491272676,2.14285714285714,0.17741935483871,1.40322580645161,1.67741935483871,1.78571428571429
"18",18,18,3,1,1,1,5.70378250798953,0.285714285714286,0.0806451612903226,0.161290322580645,0.0967741935483871,0.214285714285714
"19",19,19,3,1,1,2,5.53733430638861,0.714285714285714,0.0967741935483871,0.0967741935483871,0.193548387096774,0.428571428571429
"20",20,20,3,1,1,0,4.31748824686963,0.142857142857143,0.032258064516129,0.0161290322580645,0.032258064516129,0.0714285714285714
"21",21,21,1,1,0,2,6.81344461049991,0.142857142857143,0.032258064516129,0.032258064516129,0.032258064516129,0.0714285714285714
"22",22,22,1,1,0,2,4.45434741253257,0.142857142857143,0.0483870967741935,0.0161290322580645,0.032258064516129,0.0714285714285714
